date,open,high,low,close,volume,amount,adjustflag,turn,pctChg,ma5,ma10,ma20,ma60
2025-12-15,11.26,11.4,11.23,11.27,4650148,52679181.5,2,0.5109,0.1778,,,,
2025-12-16,11.33,11.33,11.01,11.13,6185471,68836062.72,2,0.6795,-1.2422,,,,
2025-12-17,11.12,11.28,11.07,11.23,4056771,45306753.81,2,0.4457,0.8985,,,,
2025-12-18,11.25,11.43,11.12,11.3,5197170,58907035.0,2,0.5709,0.6233,,,,
2025-12-19,11.35,11.45,11.28,11.4,5321384,60615192.12,2,0.5846,0.885,11.266,,,
2025-12-22,11.4,11.44,11.31,11.32,5079212,57706376.24,2,0.558,-0.7018,11.276000000000002,,,
2025-12-23,11.31,11.35,11.27,11.29,3570540,40347643.96,2,0.3923,-0.265,11.308000000000002,,,
2025-12-24,11.29,11.45,11.24,11.43,5499284,62503152.68,2,0.6041,1.24,11.347999999999999,,,
2025-12-25,11.41,11.69,11.36,11.61,7373597,85319973.09,2,0.81,1.5748,11.41,,,
2025-12-26,11.6,11.64,11.48,11.54,5146308,59455994.72,2,0.5654,-0.6029,11.437999999999999,11.352,,
2025-12-29,11.55,11.58,11.33,11.45,8790276,100548628.08,2,0.9657,-0.7799,11.464,11.370000000000001,,
2025-12-30,11.37,11.65,11.33,11.57,10171132,117151305.68,2,1.1174,1.048,11.52,11.413999999999998,,
2025-12-31,11.6,11.62,11.48,11.48,4418608,50972037.32,2,0.4854,-0.7779,11.530000000000001,11.439,,
2026-01-05,11.47,11.61,11.41,11.57,7426673,85704964.06,2,0.8159,0.784,11.522,11.466,,
2026-01-06,11.59,12.09,11.57,11.97,14098020,167386278.53,2,1.5488,3.4572,11.608,11.523,,
2026-01-07,12.1,12.39,11.98,12.17,14700656,179102545.48,2,1.615,1.6708,11.752,11.608,,
2026-01-08,12.1,12.17,11.91,11.99,9536425,114473932.32,2,1.0476,-1.479,11.836,11.678,,
2026-01-09,11.98,12.01,11.82,11.88,9743332,115774019.96,2,1.0704,-0.9174,11.916,11.722999999999999,,
2026-01-12,11.89,11.98,11.83,11.91,9306827,110628769.99,2,1.0224,0.2525,11.984,11.753,,
2026-01-13,11.85,12.12,11.85,11.93,11849485,142111893.59,2,1.3018,0.1679,11.975999999999999,11.792,11.572,
2026-01-14,11.92,12.06,11.71,11.83,13128820,156372099.33,2,1.4423,-0.8382,11.908,11.83,11.6,
2026-01-15,11.75,12.34,11.73,12.19,18248583,221377010.78,2,2.0047,3.0431,11.948,11.892,11.653,
2026-01-16,12.21,12.22,11.87,12.02,12712333,152481905.93,2,1.3965,-1.3946,11.975999999999999,11.946000000000002,11.692499999999999,
2026-01-19,11.92,12.45,11.92,12.39,16928245,208046889.63,2,1.8597,3.0782,12.072,12.028,11.747,
2026-01-20,12.44,12.59,12.4,12.57,13209371,165104415.87,2,1.4511,1.4528,12.2,12.088,11.805499999999999,
2026-01-21,12.57,12.71,12.41,12.5,13127056,164281105.84,2,1.4421,-0.5569,12.334,12.120999999999999,11.8645,
2026-01-22,12.53,13.2,12.44,12.99,23127080,298335572.2,2,2.5407,3.92,12.494,12.221,11.9495,
2026-01-23,13.04,13.3,12.92,13.15,20810512,272173565.0,2,2.2862,1.2317,12.720000000000002,12.348,12.0355,
2026-01-26,13.23,13.37,12.91,13.04,15757578,206221734.32,2,1.7311,-0.8365,12.85,12.461,12.107000000000001,
2026-01-27,13.02,13.13,12.6,12.85,17461052,224260658.44,2,1.9182,-1.4571,12.906,12.553,12.1725,
2026-01-28,12.85,14.14,12.8,14.09,52821126,723598342.62,2,5.8028,9.6498,13.223999999999998,12.779,12.3045,
