industry,days,cum_pct,mean_pct,vol_pct,up_days,up_ratio_avg
B09有色金属矿采选业,10,15.47,1.55,3.34,6,49.8
E49建筑安装业,10,10.37,1.04,3.57,7,55.0
M73研究和试验发展,10,8.91,0.89,3.36,4,60.0
C39计算机、通信和其他电子设备制造业,10,7.08,0.71,2.26,7,52.9
C28化学纤维制造业,10,6.33,0.63,2.42,7,51.8
C41其他制造业,10,5.24,0.52,1.97,5,49.0
C32有色金属冶炼和压延加工业,10,5.19,0.52,2.2,6,53.1
R89体育,10,4.31,0.43,4.71,4,50.0
C36汽车制造业,10,4.28,0.43,1.64,6,51.5
C43金属制品、机械和设备修理业,10,3.57,0.36,2.0,6,55.0
C35专用设备制造业,10,3.44,0.34,1.86,6,50.6
E47房屋建筑业,10,3.16,0.32,2.67,5,50.0
C19皮革、毛皮、羽毛及其制品和制鞋业,10,3.01,0.3,2.0,7,53.0
C24文教、工美、体育和娱乐用品制造业,10,2.96,0.3,1.79,5,52.4
C34通用设备制造业,10,2.85,0.28,1.91,6,50.3
C42废弃资源综合利用业,10,2.63,0.26,2.04,7,50.9
C40仪器仪表制造业,10,2.5,0.25,1.91,4,48.2
C17纺织业,10,2.38,0.24,1.89,5,51.4
C20木材加工和木、竹、藤、棕、草制品业,10,2.34,0.23,1.81,6,48.3
C30非金属矿物制品业,10,2.27,0.23,1.97,6,52.0
C22造纸和纸制品业,10,2.15,0.22,1.76,5,48.6
J67资本市场服务,10,1.99,0.2,1.85,5,48.4
C37铁路、船舶、航空航天和其他运输设备制造业,10,1.92,0.19,1.73,4,50.0
L71租赁业,10,1.86,0.19,3.29,5,36.7
R86新闻和出版业,10,1.74,0.17,1.93,5,51.8
C33金属制品业,10,1.73,0.17,1.87,6,48.8
H62餐饮业,10,1.71,0.17,1.44,5,52.5
C29橡胶和塑料制品业,10,1.67,0.17,1.65,6,49.9
C38电气机械和器材制造业,10,1.67,0.17,1.81,5,48.2
I64互联网和相关服务,10,1.59,0.16,2.51,5,47.3
M74专业技术服务业,10,1.57,0.16,1.92,5,50.8
R87广播、电视、电影和录音制作业,10,1.55,0.15,2.09,6,50.8
C14食品制造业,10,1.48,0.15,1.34,6,50.2
I65软件和信息技术服务业,10,0.97,0.1,2.2,6,47.7
C27医药制造业,10,0.94,0.09,1.63,6,48.2
C18纺织服装、服饰业,10,0.89,0.09,1.73,5,50.0
G56航空运输业,10,0.84,0.08,2.25,2,31.4
C13农副食品加工业,10,0.74,0.07,1.63,6,52.5
E50建筑装饰、装修和其他建筑业,10,0.72,0.07,1.94,6,47.1
B08黑色金属矿采选业,10,0.66,0.07,1.91,5,50.0
F52零售业,10,0.65,0.07,1.66,6,49.3
I63电信、广播电视和卫星传输服务,10,0.65,0.07,1.98,5,47.5
C26化学原料和化学制品制造业,10,0.5,0.05,2.07,6,47.8
F51批发业,10,0.5,0.05,1.44,5,50.0
P83教育,10,0.46,0.05,1.9,5,50.0
A03畜牧业,10,0.44,0.04,2.42,5,52.9
C31黑色金属冶炼和压延加工业,10,0.29,0.03,1.72,5,49.4
E48土木工程建筑业,10,0.18,0.02,1.91,4,45.6
A01农业,10,0.15,0.02,2.77,5,50.0
J69其他金融业,10,0.12,0.01,1.86,5,44.5
L72商务服务业,10,-0.06,-0.01,2.05,6,45.8
K70房地产业,10,-0.27,-0.03,1.81,5,45.3
J68保险业,10,-0.34,-0.03,2.26,3,38.3
C23印刷和记录媒介复制业,10,-0.38,-0.04,2.05,5,50.0
B11开采专业及辅助性活动,10,-0.41,-0.04,1.87,5,45.0
J66货币金融服务,10,-0.55,-0.05,0.66,5,41.6
S91综合,10,-0.75,-0.07,1.52,5,45.7
A04渔业,10,-0.93,-0.09,2.09,5,48.3
H61住宿业,10,-1.11,-0.11,2.55,3,42.5
G59装卸搬运和仓储业,10,-1.19,-0.12,2.22,5,48.3
C15酒、饮料和精制茶制造业,10,-1.26,-0.13,1.32,6,46.8
G55水上运输业,10,-1.31,-0.13,1.32,5,41.1
G60邮政业,10,-1.5,-0.15,0.97,5,45.0
R88文化艺术业,10,-1.51,-0.15,2.56,4,40.0
B07石油和天然气开采业,10,-1.76,-0.18,3.42,4,51.2
G58多式联运和运输代理业,10,-1.86,-0.19,1.72,4,37.8
N78公共设施管理业,10,-2.16,-0.22,2.14,4,41.9
N77生态保护和环境治理业,10,-2.5,-0.25,2.06,5,44.4
A02林业,10,-2.53,-0.25,2.7,5,55.0
B10非金属矿采选业,10,-2.53,-0.25,1.97,4,40.0
Q84卫生,10,-2.58,-0.26,1.95,5,47.5
G53铁路运输业,10,-2.74,-0.27,0.91,4,41.4
C25石油、煤炭及其他燃料加工业,10,-2.98,-0.3,2.37,6,46.0
C21家具制造业,10,-3.07,-0.31,1.79,4,46.8
G54道路运输业,10,-3.39,-0.34,1.37,4,41.9
D46水的生产和供应业,10,-3.87,-0.39,1.63,4,33.2
D45燃气生产和供应业,10,-4.5,-0.45,1.68,5,43.4
M75科技推广和应用服务业,10,-4.59,-0.46,2.2,5,60.0
B06煤炭开采和洗选业,10,-5.81,-0.58,2.04,4,43.4
A05农、林、牧、渔专业及辅助性活动,10,-10.29,-1.03,2.07,3,36.7
D44电力、热力生产和供应业,10,-10.53,-1.05,2.4,4,39.2
