日期,股票代码,股票名称,首次封板时间,次日日期,次日开盘涨跌幅(%),次日开盘类型
2026-03-23,001258,立新能源,09:46:06,2026-03-24,0.0,平开
2026-03-23,002565,顺灏股份,09:40:27,2026-03-24,1.943,高开
2026-03-23,002896,中大力德,09:31:45,2026-03-24,3.844,高开
2026-03-23,600143,金发科技,09:39:03,2026-03-24,1.707,高开
2026-03-23,600758,辽宁能源,09:31:04,2026-03-24,9.091,高开
2026-03-23,600792,云煤能源,09:42:21,2026-03-24,-0.61,低开
2026-03-23,600844,金煤科技,09:39:54,2026-03-24,-0.744,低开
2026-03-23,603272,联翔股份,09:34:50,2026-03-24,4.671,高开
2026-03-23,603529,爱玛科技,09:42:21,2026-03-24,-0.225,低开
2026-03-23,603787,新日股份,09:45:34,2026-03-24,7.422,高开
2026-03-24,000035,中国天楹,09:35:03,2026-03-25,0.67,高开
2026-03-24,000722,湖南发展,09:34:21,2026-03-25,9.993,高开
2026-03-24,002192,融捷股份,09:30:27,2026-03-25,7.509,高开
2026-03-24,002350,北京科锐,09:30:18,2026-03-25,5.053,高开
2026-03-24,601226,华电科工,09:34:00,2026-03-25,3.484,高开
2026-03-27,002995,天地在线,09:40:00,2026-03-30,-0.677,低开
2026-03-30,600502,安徽建工,09:30:21,2026-03-31,6.055,高开
2026-03-31,002565,顺灏股份,09:34:09,2026-04-01,-0.059,低开
2026-03-31,002995,天地在线,09:41:15,2026-04-01,2.19,高开
2026-04-08,603272,联翔股份,09:39:58,2026-04-09,3.682,高开
2026-04-10,603272,联翔股份,09:44:03,2026-04-13,-2.35,低开
