code,name,style_bucket,track_index,fund_size_yi,fee_rate,tracking_error_60d,valuation_pct_5y,dividend_yield,payout_ratio,style_corr_group,notes
510880,红利ETF,红利低波,中证红利,180,0.60,0.30,25,5.50,0.55,RED_HS300,上交所红利
515180,红利低波ETF,红利低波,标普中国A股红利机会,55,0.60,0.40,30,6.20,0.50,RED_LOW_VOL,博时红利低波
512890,红利低波100ETF,红利低波,中证红利低波动100,120,0.55,0.35,28,6.10,0.55,RED_LOW_VOL,华泰柏瑞
510300,沪深300ETF,宽基大盘,沪深300,1200,0.50,0.20,55,2.80,,BROAD_300,华泰柏瑞旗舰
510310,沪深300ETF易,宽基大盘,沪深300,400,0.20,0.15,55,2.80,,BROAD_300,易方达低费率
560610,中证A500ETF,宽基大盘,中证A500,80,0.50,0.25,50,2.90,,BROAD_A500,
510500,中证500ETF,宽基中小,中证500,500,0.50,0.25,60,1.80,,BROAD_500,
159915,创业板ETF,宽基中小,创业板指,420,0.50,0.30,45,1.20,,BROAD_GEM,
588000,科创50ETF,宽基中小,科创50,650,0.50,0.40,55,0.50,,BROAD_KC50,
511260,十年国债ETF,利率债,上证10年期国债,80,0.15,0.10,,,,BOND_GOV,
511220,城投债ETF,信用债,上证城投债,60,0.25,0.15,,,,BOND_CREDIT,
518880,黄金ETF,商品,SGE黄金9999,400,0.50,0.20,,,,COMMODITY_GOLD,
513100,纳指ETF,海外,纳斯达克100,80,0.80,1.00,80,,,QDII_US,
513500,标普500ETF,海外,标普500,50,0.60,0.80,75,,,QDII_US,
512170,医疗ETF,单一行业,中证医疗,180,0.50,0.50,15,,,SECTOR_HEALTH,
515030,新能源车ETF,单一行业,中证新能源汽车,40,0.50,0.60,40,,,SECTOR_NEV,
512660,军工ETF,单一行业,中证军工,90,0.50,0.50,50,,,SECTOR_DEFENSE,
512760,半导体ETF,单一行业,中华半导体芯片,200,0.50,0.55,60,,,SECTOR_SEMI,
