快照日期,board_code,一级行业,二级行业,三级行业,当前排名,当前涨跌幅,今开,最高,最低,现价,振幅,换手率,成交额_亿元,昨日排名,昨日涨跌幅,排名较昨日改善,含今日5日涨跌幅,含今日10日涨跌幅,截至昨日20日涨跌幅,截至昨日60日涨跌幅,当前较60日峰值回撤,6月行情涨跌幅,7月至当前涨跌幅,轮动档位,原始轮动标签,轮动得分,两周涨跌幅,B周涨跌幅,近后半段排名分位,量能后半段前半段比,科技口径
2026-07-17,BK1565,社会服务,专业服务,会展服务,1,5.3100,1047.4600,1103.1500,1047.4600,1082.2900,5.4200,2.1900,2.3315,1,7.2100,0,12.8559,7.8062,1.3526,-2.0702,0.0000,-3.4055,12.6135,上升轮动,新晋活跃,24.6000,2.3703,7.1654,0.4374,0.9144,非核心科技
2026-07-17,BK1373,公用事业,电力,电能综合服务,2,4.3200,3048.7800,3201.1400,3046.9900,3192.1500,5.0400,1.7700,32.6896,12,2.1000,10,9.9930,4.6462,-11.6322,-14.7898,-20.0935,-24.3338,5.9628,上升轮动,新晋活跃,21.4000,0.3127,5.4380,0.2303,0.8141,非核心科技
2026-07-17,BK1380,公用事业,电力,水力发电,3,3.9100,3771.9100,3950.0900,3765.1200,3939.5100,4.8800,0.6900,73.0468,98,0.8700,95,8.5760,6.1226,-4.8507,-4.5717,-11.6869,-18.8243,10.6196,普通轮动,普通轮动,16.0000,2.1293,4.4904,0.3157,1.0522,非核心科技
2026-07-17,BK1377,公用事业,电力,火力发电,4,3.4600,2284.2200,2378.2700,2283.3300,2371.5900,4.1400,1.7700,173.8578,94,0.8900,90,5.1282,-1.5587,-18.6303,-2.7457,-25.3926,-22.4565,-1.4970,普通轮动,普通轮动,4.8000,-4.8509,1.6124,0.4018,0.7920,非核心科技
2026-07-17,BK1434,基础化工,农化制品,钾肥,5,2.3800,2070.8900,2142.8700,2070.8900,2130.6900,3.4600,1.0800,29.0203,72,1.0900,67,4.2784,-2.1485,-10.0834,-24.7748,-27.8226,-12.8440,-0.0938,普通轮动,普通轮动,24.2000,-4.4233,1.8543,0.3929,0.6031,非核心科技
2026-07-17,BK1374,公用事业,电力,风力发电,6,2.3600,1853.7400,1910.7700,1852.7800,1907.2900,3.1100,1.2000,48.9941,39,1.3900,33,5.3458,-2.7175,-6.8413,-13.4303,-20.2389,-23.7878,6.7427,上升轮动,新晋活跃,18.5000,-4.9604,2.9169,0.3318,0.5063,非核心科技
2026-07-17,BK1376,公用事业,电力,核力发电,7,2.0900,597.6700,611.3100,596.4100,609.3700,2.5000,0.2900,11.3687,23,1.6400,16,5.1916,4.3405,-4.6102,-3.7031,-7.8831,-8.0282,2.7798,上升轮动,新晋活跃,25.4000,2.2044,3.0381,0.4030,0.8204,非核心科技
2026-07-17,BK1432,基础化工,农化制品,氮肥,8,2.0500,1722.3100,1781.9100,1720.4000,1756.4700,3.5700,3.0700,16.2225,3,3.4500,-5,11.6155,8.5964,3.6040,-19.4389,-25.2248,-14.9710,13.9595,上升轮动,上升轮动,52.1000,6.4148,9.3734,0.1769,0.8952,非核心科技
2026-07-17,BK1375,公用事业,电力,光伏发电,9,1.9700,2979.1300,3064.1800,2979.1300,3049.1500,2.8400,2.5800,28.1001,75,1.0600,66,0.7921,-5.7146,-16.2008,-26.2166,-32.3357,-19.7459,-6.7742,普通轮动,普通轮动,-2.1000,-7.5362,-1.1551,0.5074,0.8493,非核心科技
2026-07-17,BK1612,银行,银行Ⅱ,农商行Ⅲ,10,1.7400,453.5900,462.0200,453.3800,461.0000,1.9100,0.8200,15.5721,42,1.3600,32,8.5527,9.8573,2.2199,-4.1130,-5.0729,-8.8519,12.6836,持续主线,持续主线,54.1000,7.9785,6.6962,0.3359,1.0374,非核心科技
2026-07-17,BK1417,基础化工,化学原料,纯碱,11,1.6700,902.8700,925.2600,901.6300,919.0100,2.6100,1.6300,6.6691,10,2.2100,-1,6.9809,0.7223,-5.5485,-23.0331,-25.6283,-13.6998,5.3743,上升轮动,上升轮动,40.5000,-0.9322,5.2237,0.2866,0.8299,非核心科技
2026-07-17,BK1483,交通运输,铁路公路,高速公路,12,1.4400,2651.4900,2690.7300,2651.4900,2683.6500,1.4800,0.5000,11.4045,32,1.4600,20,5.8271,7.3205,3.2972,-1.5738,-2.4606,-10.7699,10.3945,持续主线,持续主线,48.7000,5.7971,4.3248,0.3549,1.0463,非核心科技
2026-07-17,BK1481,交通运输,航运港口,港口,13,1.3800,1536.4200,1562.0700,1535.6500,1558.3100,1.7200,0.3300,14.2422,56,1.2000,43,7.7875,8.1329,1.0854,-6.8050,-8.8140,-12.4204,10.9326,持续主线,持续主线,51.4000,6.6610,6.3203,0.2730,0.9559,非核心科技
2026-07-17,BK1424,基础化工,化学制品,氟化工,14,1.3500,13341.2300,13849.7200,13277.0000,13542.5500,4.2900,2.8000,77.4669,98,0.8700,84,-7.9792,-26.4129,-12.3322,4.7041,-26.4129,23.3279,-16.0840,普通轮动,普通轮动,-3.8000,-27.3931,-9.2049,0.7050,0.4814,非核心科技
2026-07-17,BK1569,石油石化,炼化及贸易,炼油化工,15,1.3300,3196.3100,3243.5500,3186.7100,3230.8600,1.7800,0.1900,45.9259,36,1.4200,21,4.3498,2.4731,-0.4226,-12.2726,-16.8951,-7.9171,7.6723,上升轮动,新晋活跃,37.7000,1.1281,2.9802,0.3834,0.8330,非核心科技
2026-07-17,BK1611,银行,银行Ⅱ,国有大型银行Ⅲ,16,1.2900,3041.8500,3089.6700,3041.1000,3085.0300,1.5900,0.1200,74.8013,76,1.0300,60,6.1025,9.0129,2.0519,1.4830,-1.5870,-3.0270,8.5541,强势板块,强势板块,37.0000,7.6246,4.7512,0.4415,0.9768,非核心科技
