code,symbol,name_sina,current_price,pct_today,amount_today,volume_today,bid,ask,name_nav,fund_type,nav_value,acc_nav_value,nav_growth_pct,premium_discount_pct,market_price_nav_source,scale_name,fund_share,scale_date,name,market,estimated_size_yi,category,theme,is_qdii,category_priority,amount_today_yi,data_issues,hist_rows,first_date,last_date,last_close,annual_return_3y,return_1y,return_6m,return_3m,return_20d,volatility_1y,max_drawdown_3y,max_drawdown_1y,current_drawdown,return_dd_ratio_1y,ma20,ma60,ma120,ma250,ma_state,price_vs_ma20_pct,pct_from_250_high,avg_amount_20d,avg_amount_60d,amount_stability,style_bucket,track_index,fund_size_yi,fee_rate,tracking_error_60d,valuation_pct_5y,dividend_yield,payout_ratio,style_corr_group,notes,updated_at,rank_return_3y,rank_return_1y,rank_return_6m,rank_return_dd,rank_low_vol,rank_amount,safety_score,return_score,income_score,execution_score,total_score,raw_grade,grade,hard_filter_ok,hard_filter_reason,action,reason,rank
159915,sz159915,创业板ETF易方达,4.258,1.14,7032563318.0,1663473156.0,4.257,4.258,创业板ETF易方达,指数型-股票,,,,,4.258,创业板ETF易方达,11363454936.0,,创业板ETF易方达,sz,483.85591117487996,CORE_BROAD,宽基,False,2,70.32563318,缺折溢价,780,2023-03-31,2026-06-23,4.21,0.241706502717018,1.0657507360157017,0.36157826649417846,0.3005869632375655,0.04362915220624686,0.29376474080430814,-0.33719193427931293,-0.12,-0.03859328613838764,8.88125613346418,4.05505,3.7679833333333335,3.5232,3.1109,多头,0.03821161268048501,-0.03859328613838764,5863739339.8,5046907460.533334,1.161848000117749,宽基中小,创业板指,424.95,0.5,0.3,45.0,1.2,,BROAD_GEM,nan,2026-06-16T16:32:27,0.8076923076923077,0.9230769230769231,0.7692307692307693,0.9615384615384616,0.2692307692307692,0.9615384615384616,18,37,6,10,71,B,B,True,,小仓/等待,多头 / 回撤-33.7% / 1年+106.6%,1
159338,sz159338,中证A500ETF国泰,1.325,0.837,4264822904.0,3238107300.0,1.324,1.325,中证A500ETF国,指数型-股票,,,,,1.325,中证A500ETF国泰,18572086664.0,,中证A500ETF国,sz,246.08014829799998,CORE_BROAD,宽基,False,2,42.64822904,缺折溢价,410,2024-10-15,2026-06-23,1.314,0.23506776156674292,0.3817034700315458,0.13178294573643412,0.12116040955631413,-0.00227790432801811,0.17330251884958142,-0.14833005893909623,-0.08300395256916993,-0.02882483370288247,4.598617996094339,1.2927500000000003,1.266483333333333,1.24945,1.1689960000000001,多头,0.016437826339199102,-0.02882483370288247,4276354121.15,4938547104.083333,0.8659134014565109,,,,,,,,,,,,0.6538461538461539,0.4230769230769231,0.34615384615384615,0.7692307692307693,0.6538461538461539,0.8846153846153846,30,26,5,9,70,B,C,False,F1历史不足504日,观察,F1历史不足504日 / 多头 / 回撤-14.8% / 1年+38.2%,2
159949,sz159949,创业板50ETF华安,2.049,1.085,1875252024.0,922625410.0,2.048,2.049,创业板50ETF华安,指数型-股票,,,,,2.049,创业板50ETF华安,12471785113.0,,创业板50ETF华安,sz,255.54687696537,CORE_BROAD,宽基,False,2,18.75252024,缺折溢价,780,2023-03-31,2026-06-23,2.027,0.2820143671514648,1.2225877192982457,0.37052062204192016,0.3179453836150845,0.047545219638242875,0.31934344583232593,-0.34929810074318746,-0.12955974842767304,-0.040246212121212155,9.43647802759325,1.9615500000000001,1.807416666666667,1.6787083333333332,1.471556,多头,0.03336647039331142,-0.040246212121212155,2550501574.7,2012300980.4166667,1.2674553158404234,,,,,,,,,,,,0.8461538461538461,0.9615384615384616,0.8076923076923077,1.0,0.19230769230769232,0.6538461538461539,18,37,5,8,68,C,C,True,,观察,多头 / 回撤-34.9% / 1年+122.3%,3
159361,sz159361,A500ETF易方达,1.352,0.896,1641165681.0,1222577711.0,1.352,1.353,A500ETF易方达,指数型-股票,,,,,1.352,A500ETF易方达,19130090279.0,,A500ETF易方达,sz,258.63882057208,CORE_BROAD,宽基,False,2,16.41165681,缺折溢价,385,2024-11-19,2026-06-23,1.34,0.2215621000189829,0.38716356107660466,0.1336717428087988,0.12416107382550345,-0.0007457121551079915,0.173217432790949,-0.11155378486055778,-0.08540372670807461,-0.02898550724637672,4.5333333333333306,1.31785,1.2901333333333334,1.2719583333333333,1.189584,多头,0.01680767917441295,-0.02898550724637672,1812608913.3,2028131169.6833334,0.8937335712773526,,,,,,,,,,,,0.5,0.5,0.46153846153846156,0.7307692307692307,0.6923076923076923,0.4230769230769231,31,24,5,7,67,C,C,False,F1历史不足504日,观察,F1历史不足504日 / 多头 / 回撤-11.2% / 1年+38.7%,4
159352,sz159352,A500ETF南方,1.373,0.365,3225314032.0,2355828499.0,1.373,1.374,A500ETF南方,指数型-股票,,,,,1.373,A500ETF南方,21201101746.0,,A500ETF南方,sz,291.09112697258,CORE_BROAD,宽基,False,2,32.25314032,缺折溢价,410,2024-10-15,2026-06-23,1.368,0.23140610090409752,0.36936936936936937,0.1343283582089554,0.12407559572719795,0.00073152889539152,0.17416057161345866,-0.15902712815715614,-0.08586626139817632,-0.02840909090909083,4.301682213186636,1.3441500000000002,1.3160666666666667,1.2983,1.2160159999999998,多头,0.017743555406762646,-0.02840909090909083,3040444043.95,4656551240.0,0.6529390287456602,,,,,,,,,,,,0.6153846153846154,0.3076923076923077,0.5,0.5769230769230769,0.6153846153846154,0.8076923076923077,30,23,5,8,66,C,C,False,F1历史不足504日,观察,F1历史不足504日 / 多头 / 回撤-15.9% / 1年+36.9%,5
588220,sh588220,科创100ETF鹏华,2.088,3.469,642653310.0,314215248.0,2.087,2.088,科创100ETF鹏华,指数型-股票,,,,,2.088,科创100F,6543197900.0,2025-01-15,科创100ETF鹏华,sh,136.621972152,CORE_BROAD,宽基,False,2,6.4265331,缺折溢价,666,2023-09-15,2026-06-23,2.018,0.31127088311264073,1.0591836734693878,0.5583011583011581,0.43425728500355354,0.07511987213638771,0.30810955264295137,-0.39867424242424243,-0.14842300556586274,-0.012720156555773077,7.136249999999999,1.8451499999999998,1.6907999999999999,1.5925666666666667,1.3976,多头,0.09367802075711995,-0.012720156555773077,667680139.25,636865056.5666667,1.0483855761367362,,,,,,,,,,,,0.9230769230769231,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.23076923076923078,0.2692307692307692,17,37,5,7,66,C,D,False,F8核心回撤>35%,淘汰,F8核心回撤>35% / 多头 / 回撤-39.9% / 1年+105.9%,6
563360,sh563360,A500ETF华泰柏瑞,1.4,0.937,4064061190.0,2922239462.0,1.4,1.401,A500ETF华泰柏,指数型-股票,,,,,1.4,A500基金,17086987400.0,2025-01-15,A500ETF华泰柏,sh,239.2178236,CORE_BROAD,宽基,False,2,40.6406119,缺折溢价,410,2024-10-15,2026-06-23,1.387,0.23105531516929378,0.3800995024875624,0.1322448979591837,0.11945117029862784,0.0,0.17430084691618195,-0.1581395348837209,-0.08445440956651717,-0.03142458100558654,4.5006472064456515,1.3656000000000001,1.3368666666666669,1.3188749999999998,1.234536,多头,0.015670767428236587,-0.03142458100558654,4270993872.55,5439221046.683333,0.7852216035886826,,,,,,,,,,,,0.5769230769230769,0.34615384615384615,0.38461538461538464,0.6923076923076923,0.5769230769230769,0.8461538461538461,28,23,5,9,65,C,C,False,F1历史不足504日,观察,F1历史不足504日 / 多头 / 回撤-15.8% / 1年+38.0%,7
588000,sh588000,科创50ETF华夏,2.096,3.609,8748955895.0,4244590621.0,2.097,2.098,科创50ETF华夏,指数型-股票,,,,,2.096,科创50,88009168200.0,2025-01-15,科创50ETF华夏,sh,1844.6721654720002,CORE_BROAD,宽基,False,2,87.48955895,缺折溢价,780,2023-03-31,2026-06-23,2.023,0.2369136793428681,0.9621726479146462,0.47020348837209314,0.4885945548197206,0.012512512512512508,0.3475613715396529,-0.3878292461398728,-0.19268292682926824,-0.01605058365758749,4.99355424867095,1.8523,1.6759999999999997,1.5917833333333333,1.4368519999999998,多头,0.09215569832100634,-0.01605058365758749,6466140837.35,5392697942.6,1.1990548898113247,宽基中小,科创50,1622.89,0.5,0.4,55.0,0.5,,BROAD_KC50,nan,2026-06-16T16:32:27,0.6923076923076923,0.8461538461538461,0.8846153846153846,0.8461538461538461,0.11538461538461539,1.0,16,34,6,9,65,C,D,False,F8核心回撤>35%,淘汰,F8核心回撤>35% / 多头 / 回撤-38.8% / 1年+96.2%,8
563220,sh563220,A500ETF富国,1.379,1.174,589913235.0,429870977.0,1.378,1.38,A500ETF富国,指数型-股票,,,,,1.379,A500富国,17267013700.0,2025-01-15,A500ETF富国,sh,238.112118923,CORE_BROAD,宽基,False,2,5.89913235,缺折溢价,410,2024-10-15,2026-06-23,1.363,0.23802549571549103,0.38095238095238093,0.13112033195020745,0.12088815789473695,-0.00146520146520146,0.17297266734412695,-0.14814814814814803,-0.08510638297872353,-0.032647267565649396,4.476190476190469,1.34405,1.3154666666666668,1.2972083333333335,1.213448,多头,0.01409917785796666,-0.032647267565649396,509107545.3,529430328.7,0.9616138662665927,,,,,,,,,,,,0.7307692307692307,0.38461538461538464,0.3076923076923077,0.6538461538461539,0.7307692307692307,0.07692307692307693,29,24,5,6,64,C,C,False,F1历史不足504日,观察,F1历史不足504日 / 多头 / 回撤-14.8% / 1年+38.1%,9
510310,sh510310,沪深300ETF易方达,4.817,0.438,6819091157.0,1419404327.0,4.818,4.819,沪深300ETF易方,指数型-股票,,,,,4.817,HS300ETF,64614344000.0,2025-01-15,沪深300ETF易方,sh,3112.47295048,CORE_BROAD,宽基,False,2,68.19091157,缺折溢价,780,2023-03-31,2026-06-23,4.796,0.3610984955200154,0.2535284892838474,0.07293064876957511,0.10710987996306565,0.002508361204013543,0.1571932895416408,-0.20327700972862262,-0.09036911327959274,-0.02777214676667339,2.805477226488395,4.746800000000001,4.640149999999999,4.598425000000001,4.443424000000001,多头,0.01036487739108427,-0.02777214676667339,2508436600.8,1921544109.2666667,1.3054275406445464,宽基大盘,沪深300,3077.58,0.2,0.15,91.4,2.8,,BROAD_300,易方达低费率,2026-06-16T16:32:27,1.0,0.15384615384615385,0.15384615384615385,0.19230769230769232,0.8461538461538461,0.6153846153846154,28,22,3,10,63,C,C,True,,观察,多头 / 回撤-20.3% / 1年+25.4%,10
512050,sh512050,A500ETF华夏,1.319,0.995,1889676160.0,1442100125.0,1.318,1.319,A500ETF华夏,指数型-股票,,,,,1.319,A500E,20785992200.0,2025-01-15,A500ETF华夏,sh,274.167237118,CORE_BROAD,宽基,False,2,18.8967616,缺折溢价,387,2024-11-15,2026-06-23,1.306,0.21697097108208951,0.38201058201058213,0.13269731136166518,0.12199312714776633,-0.0007651109410863333,0.17636902628969064,-0.12932790224032586,-0.08657664813343924,-0.03187546330615265,4.412397456434155,1.2864,1.2590833333333333,1.2417083333333332,1.162096,多头,0.015236318407960248,-0.03187546330615265,2191634690.4,3540172537.766667,0.6190756713181562,,,,,,,,,,,,0.4230769230769231,0.46153846153846156,0.4230769230769231,0.6153846153846154,0.5384615384615384,0.5769230769230769,27,23,5,8,63,C,C,False,F1历史不足504日,观察,F1历史不足504日 / 多头 / 回撤-12.9% / 1年+38.2%,11
159967,sz159967,创业板成长ETF华夏,1.041,2.461,861790346.0,840951438.0,1.04,1.041,创业板成长ETF华夏,指数型-股票,,,,,1.041,创业板成长ETF华夏,5851505811.0,,创业板成长ETF华夏,sz,60.91417549251,CORE_BROAD,宽基,False,2,8.61790346,缺折溢价,780,2023-03-31,2026-06-23,1.016,0.23990620379797134,1.3682983682983685,0.646677471636953,0.5899843505477309,0.10434782608695659,0.3631746534286198,-0.3877917414721723,-0.16282642089093702,-0.04060434372049093,8.403417337379603,0.95075,0.8282166666666665,0.7300333333333332,0.632912,多头,0.0686300289245334,-0.04060434372049093,1219014631.8,826003880.7666667,1.475797705294744,,,,,,,,,,,,0.7692307692307693,1.0,1.0,0.9230769230769231,0.07692307692307693,0.3076923076923077,14,38,5,6,63,C,D,False,F8核心回撤>35%,淘汰,F8核心回撤>35% / 多头 / 回撤-38.8% / 1年+136.8%,12
588080,sh588080,科创50ETF易方达,2.036,4.09,2362923650.0,1184631946.0,2.035,2.036,科创50ETF易方达,指数型-股票,,,,,2.036,科创板50,58786628099.99999,2025-01-15,科创50ETF易方达,sh,1196.8957481159998,CORE_BROAD,宽基,False,2,23.6292365,缺折溢价,780,2023-03-31,2026-06-23,1.956,0.2304383267922172,0.9443339960238568,0.4695717505634862,0.4851936218678816,0.010330578512396604,0.3465878414566681,-0.3883225208526413,-0.19029615626969132,-0.0170854271356784,4.962443879767749,1.7957,1.6251333333333335,1.5427000000000002,1.395464,多头,0.08926880882107247,-0.0170854271356784,1937277841.05,1689601858.9333334,1.1465883698027104,,,,,,,,,,,,0.5384615384615384,0.8076923076923077,0.8461538461538461,0.8076923076923077,0.15384615384615385,0.5,16,32,5,8,61,C,D,False,F8核心回撤>35%,淘汰,F8核心回撤>35% / 多头 / 回撤-38.8% / 1年+94.4%,13
